environment | time (s),ADPg | ADPg (mM),ADPn | ADPn (mM),AMPg | AMPg (mM),AMPn | AMPn (mM),ATPg | ATPg (mM),ATPg | ATPg' (mM/s),ATPn | ATPn (mM),ATPn | ATPn' (mM/s),BOLD | BOLD (dimensionless),CO2c | CO2c (mM),CO2c | CO2c' (mM/s),CRg | CRg (mM),CRg | PCrg_tot (mM),CRn | CRn (mM),CRn | PCrn_tot (mM),dAMP_dATPg | dAMP_dATPg (dimensionless),dAMP_dATPn | dAMP_dATPn (dimensionless),dHb | dHb (mM),dHb | dHb' (mM/s),F6Pg | F6Pg (mM),F6Pg | F6Pg' (mM/s),F6Pn | F6Pn (mM),F6Pn | F6Pn' (mM/s),Fin_t | CBF0 (per_s),Fin_t | Fin_t (per_s),Fout_t | Fout_t (per_s),G6Pg | G6Pg (mM),G6Pg | G6Pg' (mM/s),G6Pn | G6Pn (mM),G6Pn | G6Pn' (mM/s),GAPg | GAPg (mM),GAPg | GAPg' (mM/s),GAPn | GAPn (mM),GAPn | GAPn' (mM/s),GLCc | GLCc (mM),GLCc | GLCc' (mM/s),GLCe | GLCe (mM),GLCe | GLCe' (mM/s),GLCg | GLCg (mM),GLCg | GLCg' (mM/s),GLCn | GLCn (mM),GLCn | GLCn' (mM/s),GLUg | GLUg' (mM/s),GLUn | GLUn (mM),GLUn | GLUn' (mM/s),GLYg | GLYg (mM),GLYg | GLYg' (mM/s),LACc | LACc (mM),LACc | LACc' (mM/s),LACe | LACe (mM),LACe | LACe' (mM/s),LACg | LACg (mM),LACg | LACg' (mM/s),LACn | LACn (mM),LACn | LACn' (mM/s),NADg | NADg (mM),NADg | NADH_g_tot (mM),NADHg | NADHg (mM),NADHg | NADHg' (mM/s),NADHn | NADHn (mM),NADHn | NADHn' (mM/s),NADn | NADH_n_tot (mM),NADn | NADn (mM),NAg | NAg (mM),NAg | NAg' (mM/s),NAn | NAn (mM),NAn | NAn' (mM/s),O2c | O2c (mM),O2c | O2c' (mM/s),O2g | O2g (mM),O2g | O2g' (mM/s),O2n | O2n (mM),O2n | O2n' (mM/s),PCrg | PCrg (mM),PCrg | PCrg' (mM/s),PCrn | PCrn (mM),PCrn | PCrn' (mM/s),PEPg | PEPg (mM),PEPg | PEPg' (mM/s),PEPn | PEPn (mM),PEPn | PEPn' (mM/s),PYRg | PYRg (mM),PYRg | PYRg' (mM/s),PYRn | PYRn (mM),PYRn | PYRn' (mM/s),u_g | u_g (dimensionless),u_n | u_n (dimensionless),unitstepSB | unitstepSB (dimensionless),unitstepSB2 | unitstepSB2 (dimensionless),V_en_GLC | Km_en_GLC (mM),V_en_GLC | V_en_GLC (mM_per_s),V_en_GLC | Vm_en_GLC (mM_per_s),v_stim | unitpulseSB (dimensionless),v_stim | v_stim (mM_per_s),Vc_CO2 | Vc_CO2 (mM_per_s),Vc_GLC | Vc_GLC (mM_per_s),Vc_LAC | Vc_LAC (mM_per_s),Vc_O2 | Vc_O2 (mM_per_s),Vce_GLC | Km_ce_GLC (mM),Vce_GLC | Vce_GLC (mM_per_s),Vce_GLC | Vm_ce_GLC (mM_per_s),Vcg_GLC | Km_cg_GLC (mM),Vcg_GLC | Vcg_GLC (mM_per_s),Vcg_GLC | Vm_cg_GLC (mM_per_s),Vcg_O2 | PScapg (per_s),Vcg_O2 | Vcg_O2 (mM_per_s),Vcn_O2 | nh_O2 (dimensionless),Vcn_O2 | PScapn (per_s),Vcn_O2 | Vcn_O2 (mM_per_s),Vec_LAC | Km_ec_LAC (mM),Vec_LAC | Vec_LAC (mM_per_s),Vec_LAC | Vm_ec_LAC (mM_per_s),Veg_GLC | Km_eg_GLC (mM),Veg_GLC | Veg_GLC (mM_per_s),Veg_GLC | Vm_eg_GLC (mM_per_s),Veg_GLU | Veg_GLU (mM_per_s),Veg_GLU | Vmax_eg_GLU (mM_per_s),Vg_ATPase | Vg_ATPase (mM_per_s),Vg_ATPase | Vmax_g_ATPase (mM_per_s),Vg_ck | kfg_ck (per_mM_per_s),Vg_ck | krg_ck (per_mM_per_s),Vg_ck | Vg_ck (mM_per_s),Vg_glyp | deltaVt_GLY (dimensionless),Vg_glyp | Km_GLY (mM),Vg_glyp | Vg_glyp (mM_per_s),Vg_glyp | Vmax_glyp (mM_per_s),Vg_glys | Km_G6P_glys (mM),Vg_glys | Vg_glys (mM_per_s),Vg_glys | Vmax_glys (mM_per_s),Vg_gs | Vg_gs (mM_per_s),Vg_gs | Vmax_g_gs (mM_per_s),Vg_hk | Vg_hk (mM_per_s),Vg_hk | Vmax_g_hk (mM_per_s),Vg_ldh | kfg_ldh (per_mM_per_s),Vg_ldh | krg_ldh (per_mM_per_s),Vg_ldh | Vg_ldh (mM_per_s),Vg_leak_Na | gg_NA (mS_per_cm2),Vg_leak_Na | Vg_leak_Na (mM_per_s),Vg_mito | Vg_mito (mM_per_s),Vg_mito | Vmax_g_mito (mM_per_s),Vg_pfk | kg_pfk (per_s),Vg_pfk | Vg_pfk (mM_per_s),Vg_pgi | Vg_pgi (mM_per_s),Vg_pgi | Vmaxf_g_pgi (mM_per_s),Vg_pgi | Vmaxr_g_pgi (mM_per_s),Vg_pgk | kg_pgk (per_mM_per_s),Vg_pgk | Vg_pgk (mM_per_s),Vg_pk | kg_pk (per_mM_per_s),Vg_pk | Vg_pk (mM_per_s),Vg_pump | Vg_pump (mM_per_s),Vgc_CO2 | Vgc_CO2 (mM_per_s),Vgc_LAC | Km_gc_LAC (mM),Vgc_LAC | Vgc_LAC (mM_per_s),Vgc_LAC | Vmax_gc_LAC (mM_per_s),Vge_LAC | Km_ge_LAC (mM),Vge_LAC | Vge_LAC (mM_per_s),Vge_LAC | Vmax_ge_LAC (mM_per_s),Vn_ATPase | Vmax_n_ATPase (mM_per_s),Vn_ATPase | Vn_ATPase (mM_per_s),Vn_ck | kfn_ck (per_mM_per_s),Vn_ck | krn_ck (per_mM_per_s),Vn_ck | Vn_ck (mM_per_s),Vn_hk | Vmax_n_hk (mM_per_s),Vn_hk | Vn_hk (mM_per_s),Vn_ldh | kfn_ldh (per_mM_per_s),Vn_ldh | krn_ldh (per_mM_per_s),Vn_ldh | Vn_ldh (mM_per_s),Vn_leak_Na | gn_NA (mS_per_cm2),Vn_leak_Na | Vn_leak_Na (mM_per_s),Vn_mito | Vmax_n_mito (mM_per_s),Vn_mito | Vn_mito (mM_per_s),Vn_pfk | kn_pfk (per_s),Vn_pfk | Vn_pfk (mM_per_s),Vn_pgi | Vmaxf_n_pgi (mM_per_s),Vn_pgi | Vmaxr_n_pgi (mM_per_s),Vn_pgi | Vn_pgi (mM_per_s),Vn_pgk | kn_pgk (per_mM_per_s),Vn_pgk | Vn_pgk (mM_per_s),Vn_pk | kn_pk (per_mM_per_s),Vn_pk | Vn_pk (mM_per_s),Vn_pump | Vn_pump (mM_per_s),Vn_stim | Vn_stim (mM_per_s),Vn_stim_GLU | Vn_stim_GLU (mM_per_s),Vnc_CO2 | Vnc_CO2 (mM_per_s),Vne_LAC | Km_ne_LAC (mM),Vne_LAC | Vmax_ne_LAC (mM_per_s),Vne_LAC | Vne_LAC (mM_per_s),Vv | Vv (dimensionless),Vv | Vv' (dimensionless/s)
616,0.2148,0.113404,0.0234266,0.00618691,2.14077,0.00135307,2.25941,3.44E-07,0.0416282,2.12667,-5.30E-05,0.58497,5,0.746854,5,-0.18805,-0.100847,0.0218852,-1.84E-06,0.112889,5.32E-05,0.108907,1.04E-06,0.012,0.012,0.0120005,0.74421,0.000245523,0.72633,6.21E-06,0.064557,0.000171153,0.0498542,1.24E-05,4.6394,1.34E-05,0.315364,0.00014347,0.174057,0.000732526,0.243903,0.000115902,2.04E-14,3,-1.16E-13,1.83983,-0.00191755,0.34071,-2.90E-06,0.530377,-2.59E-05,0.701459,-0.000700875,0.506791,9.67E-05,0.163964,0.22,0.0560355,-3.08E-05,0.0370522,6.34E-06,0.22,0.182948,13.6718,-0.00386674,15.5486,-0.000579231,7.41314,5.63E-05,0.157918,6.30E-06,0.0969832,6.71E-06,4.41503,0.00291509,4.25315,5.15E-06,0.0172969,5.77E-05,0.00368975,1.58E-07,0.190739,-8.85E-05,0.0439624,6.18E-06,1.25591,1.04118,1,0,5.32,0.00611301,0.50417,0,0,4.04364,0.700821,-0.120914,4.04448,8.4568,0.0155651,0.0489,9.92,0.00296569,0.0098394,0.2457,0.0186124,2.7,0.2202,0.0390845,0.764818,0.00329253,0.0325,3.53,0.00133389,0.038089,-1.88E-13,0.0208,0.0356404,0.035657,0.0243,0.02073,-0.00291509,63,1,0.00200894,4.92E-05,0.5,9.14E-05,0.0001528,-2.09E-13,0.3,0.00356705,0.050461,6.2613,0.54682,0.00402943,0.00325,0.189508,0.00620202,0.008454,0.403,0.00518592,0.00523908,0.5,0.45,0.2514,0.0102007,2.73,0.010143,0.0644581,0.0186061,0.12862,2.60E-05,0.00021856,0.22163,0.00470428,0.086124,0.04889,0.0488684,0.0524681,0.015,-5.15E-06,0.0513,0.0059971,5.3,0.1046,-0.00106494,0.0039,0.474808,0.05557,0.0130259,0.55783,0.00598985,0.5,0.45,0.00599089,0.4287,0.0119673,28.6,0.0119672,0.158462,0,0,0.0390778,0.09314,0.1978,-0.00116165,0.0236093,-5.04E-07
617,0.213704,0.113404,0.0231735,0.00618687,2.14212,0.00134565,2.25941,3.37E-07,0.0416296,2.12661,-5.22E-05,0.58206,5,0.746849,5,-0.187113,-0.100847,0.0218834,-1.79E-06,0.112942,5.29E-05,0.108908,1.06E-06,0.012,0.012,0.0120005,0.744455,0.000244454,0.726336,6.33E-06,0.0647289,0.000172508,0.0498664,1.20E-05,4.63941,1.35E-05,0.315508,0.000145402,0.174791,0.000734614,0.24402,0.000117808,1.61E-14,3,-8.86E-14,1.83791,-0.0019168,0.340706,-3.35E-06,0.530349,-3.02E-05,0.700758,-0.000702763,0.506885,9.17E-05,0.163995,0.22,0.0560048,-3.07E-05,0.0370584,6.09E-06,0.22,0.182942,13.6679,-0.00382189,15.5481,-0.000558321,7.4132,5.55E-05,0.157924,6.26E-06,0.0969898,6.55E-06,4.41794,0.00290473,4.25315,5.02E-06,0.0173548,5.81E-05,0.00368991,1.57E-07,0.19065,-8.89E-05,0.0439685,5.94E-06,1.25334,1.04118,1,0,5.32,0.00611508,0.50417,0,0,4.04341,0.700762,-0.120901,4.04423,8.4568,0.0155644,0.0489,9.92,0.00296499,0.0098394,0.2457,0.0186097,2.7,0.2202,0.039083,0.764818,0.00329218,0.0325,3.53,0.00132802,0.038089,-1.43E-13,0.0208,0.0356404,0.035657,0.0243,0.02073,-0.00290473,63,1,0.0020082,4.92E-05,0.5,9.14E-05,0.0001528,-1.59E-13,0.3,0.0035584,0.050461,6.2613,0.54682,0.00401273,0.00325,0.189518,0.00620115,0.008454,0.403,0.00517782,0.00523074,0.5,0.45,0.2514,0.0101831,2.73,0.010125,0.0644467,0.0186035,0.12862,2.60E-05,0.00021856,0.22163,0.00468949,0.086124,0.04889,0.0488684,0.0524681,0.015,-5.02E-06,0.0513,0.00599727,5.3,0.1046,-0.00106377,0.0039,0.474812,0.05557,0.0130255,0.55783,0.00598989,0.5,0.45,0.00599094,0.4287,0.0119678,28.6,0.0119676,0.158457,0,0,0.0390764,0.09314,0.1978,-0.0011555,0.0236088,-4.78E-07
618,0.212612,0.113403,0.022923,0.00618684,2.14346,0.00133821,2.25941,3.30E-07,0.0416309,2.12656,-5.14E-05,0.57916,5,0.746844,5,-0.18618,-0.100847,0.0218816,-1.75E-06,0.112995,5.27E-05,0.108909,1.08E-06,0.012,0.012,0.0120005,0.744699,0.000243376,0.726343,6.45E-06,0.0649021,0.000173861,0.0498781,1.16E-05,4.63942,1.36E-05,0.315655,0.000147329,0.175527,0.000736648,0.244139,0.000119711,1.17E-14,3,-6.08E-14,1.83599,-0.00191605,0.340703,-3.80E-06,0.530317,-3.44E-05,0.700054,-0.0007046,0.506974,8.68E-05,0.164026,0.22,0.055974,-3.07E-05,0.0370643,5.85E-06,0.22,0.182936,13.6641,-0.00377765,15.5475,-0.000538158,7.41325,5.47E-05,0.15793,6.22E-06,0.0969963,6.40E-06,4.42084,0.00289428,4.25316,4.90E-06,0.0174132,5.86E-05,0.00369006,1.55E-07,0.190561,-8.93E-05,0.0439743,5.70E-06,1.25078,1.04118,1,0,5.32,0.00611715,0.50417,0,0,4.04318,0.700703,-0.120885,4.04399,8.4568,0.0155636,0.0489,9.92,0.00296429,0.0098394,0.2457,0.018607,2.7,0.2202,0.0390815,0.764818,0.00329177,0.0325,3.53,0.00132214,0.038089,-9.77E-14,0.0208,0.0356404,0.035657,0.0243,0.02073,-0.00289428,63,1,0.00200747,4.92E-05,0.5,9.14E-05,0.0001528,-1.09E-13,0.3,0.00354979,0.050461,6.2613,0.54682,0.00399615,0.00325,0.189529,0.00620028,0.008454,0.403,0.00516979,0.00522246,0.5,0.45,0.2514,0.0101657,2.73,0.0101072,0.0644354,0.0186008,0.12862,2.60E-05,0.00021856,0.22163,0.00467478,0.086124,0.04889,0.0488684,0.0524681,0.015,-4.90E-06,0.0513,0.00599744,5.3,0.1046,-0.00106263,0.0039,0.474815,0.05557,0.013025,0.55783,0.00598992,0.5,0.45,0.005991,0.4287,0.0119683,28.6,0.0119681,0.158451,0,0,0.0390751,0.09314,0.1978,-0.0011494,0.0236084,-4.53E-07
619,0.211525,0.113403,0.0226752,0.00618681,2.1448,0.00133077,2.25941,3.23E-07,0.0416322,2.12651,-5.07E-05,0.576271,5,0.74684,5,-0.185252,-0.100847,0.0218799,-1.71E-06,0.113047,5.24E-05,0.10891,1.09E-06,0.012,0.012,0.0120004,0.744942,0.000242289,0.726349,6.56E-06,0.0650766,0.000175212,0.0498895,1.12E-05,4.63944,1.37E-05,0.315803,0.00014925,0.176264,0.000738628,0.244259,0.000121611,6.52E-15,3,-2.87E-14,1.83408,-0.00191529,0.340699,-4.25E-06,0.53028,-3.87E-05,0.699348,-0.000706385,0.507058,8.18E-05,0.164057,0.22,0.0559433,-3.07E-05,0.0370701,5.62E-06,0.22,0.18293,13.6604,-0.003734,15.547,-0.00051873,7.41331,5.39E-05,0.157937,6.18E-06,0.0970026,6.26E-06,4.42373,0.00288373,4.25316,4.77E-06,0.017472,5.90E-05,0.00369022,1.54E-07,0.190471,-8.97E-05,0.0439799,5.46E-06,1.24824,1.04118,1,0,5.32,0.00611922,0.50417,0,0,4.04296,0.700644,-0.120868,4.04376,8.4568,0.0155628,0.0489,9.92,0.00296359,0.0098394,0.2457,0.0186044,2.7,0.2202,0.0390802,0.764818,0.00329131,0.0325,3.53,0.00131627,0.038089,-4.50E-14,0.0208,0.0356404,0.035657,0.0243,0.02073,-0.00288373,63,1,0.00200673,4.92E-05,0.5,9.14E-05,0.0001528,-5.16E-14,0.3,0.00354124,0.050461,6.2613,0.54682,0.00397971,0.00325,0.189539,0.0061994,0.008454,0.403,0.00516182,0.00521424,0.5,0.45,0.2514,0.0101484,2.73,0.0100894,0.0644243,0.0185982,0.12862,2.59E-05,0.00021856,0.22163,0.00466015,0.086124,0.04889,0.0488684,0.0524681,0.015,-4.77E-06,0.0513,0.00599761,5.3,0.1046,-0.00106151,0.0039,0.474819,0.05557,0.0130246,0.55783,0.00598995,0.5,0.45,0.00599105,0.4287,0.0119687,28.6,0.0119686,0.158446,0,0,0.0390739,0.09314,0.1978,-0.00114335,0.0236079,-4.29E-07
620,0.210444,0.113403,0.0224299,0.00618677,2.14613,0.0013233,2.25941,3.15E-07,0.0416335,2.12646,-5.00E-05,0.573393,5,0.746835,5,-0.184327,-0.100846,0.0218782,-1.67E-06,0.113099,5.22E-05,0.108911,1.11E-06,0.012,0.012,0.0120004,0.745184,0.000241194,0.726356,6.68E-06,0.0652525,0.000176561,0.0499005,1.08E-05,4.63945,1.38E-05,0.315953,0.000151166,0.177004,0.000740554,0.244382,0.000123508,7.87E-16,3,6.54E-15,1.83216,-0.00191454,0.340694,-4.70E-06,0.530239,-4.29E-05,0.698641,-0.000708119,0.507138,7.70E-05,0.164087,0.22,0.0559126,-3.07E-05,0.0370756,5.38E-06,0.22,0.182924,13.6567,-0.00369094,15.5465,-0.00050001,7.41336,5.32E-05,0.157943,6.15E-06,0.0970088,6.11E-06,4.42661,0.0028731,4.25317,4.65E-06,0.0175312,5.94E-05,0.00369037,1.53E-07,0.190381,-9.01E-05,0.0439852,5.23E-06,1.24571,1.04118,1,0,5.32,0.00612129,0.50417,0,0,4.04274,0.700584,-0.120848,4.04352,8.4568,0.0155621,0.0489,9.92,0.00296289,0.0098394,0.2457,0.0186017,2.7,0.2202,0.0390788,0.764818,0.0032908,0.0325,3.53,0.0013104,0.038089,1.26E-14,0.0208,0.0356404,0.035657,0.0243,0.02073,-0.0028731,63,1,0.00200599,4.92E-05,0.5,9.14E-05,0.0001528,1.18E-14,0.3,0.00353274,0.050461,6.2613,0.54682,0.0039634,0.00325,0.189549,0.00619851,0.008454,0.403,0.00515391,0.00520608,0.5,0.45,0.2514,0.0101313,2.73,0.0100718,0.0644134,0.0185955,0.12862,2.59E-05,0.00021856,0.22163,0.0046456,0.086124,0.04889,0.0488684,0.0524681,0.015,-4.65E-06,0.0513,0.00599778,5.3,0.1046,-0.0010604,0.0039,0.474822,0.05557,0.0130242,0.55783,0.00598999,0.5,0.45,0.0059911,0.4287,0.0119692,28.6,0.0119691,0.158441,0,0,0.0390727,0.09314,0.1978,-0.00113736,0.0236075,-4.07E-07
621,0.209367,0.113402,0.0221873,0.00618674,2.14745,0.00131583,2.25941,3.07E-07,0.0416348,2.12641,-4.93E-05,0.570525,5,0.74683,5,-0.183407,-0.100846,0.0218766,-1.63E-06,0.113152,5.19E-05,0.108912,1.13E-06,0.012,0.012,0.0120004,0.745424,0.00024009,0.726362,6.79E-06,0.0654297,0.000177908,0.049911,1.04E-05,4.63946,1.39E-05,0.316105,0.000153076,0.177745,0.000742428,0.244506,0.000125401,-4.65E-15,3,3.95E-14,1.83025,-0.00191379,0.340689,-5.14E-06,0.530194,-4.70E-05,0.697932,-0.000709802,0.507212,7.21E-05,0.164118,0.22,0.055882,-3.06E-05,0.0370808,5.15E-06,0.22,0.182919,13.653,-0.00364846,15.546,-0.000481965,7.41341,5.25E-05,0.157949,6.11E-06,0.0970148,5.98E-06,4.42947,0.00286237,4.25317,4.53E-06,0.0175908,5.98E-05,0.00369052,1.51E-07,0.190291,-9.05E-05,0.0439903,5.00E-06,1.24321,1.04118,1,0,5.32,0.00612335,0.50417,0,0,4.04252,0.700523,-0.120827,4.04329,8.4568,0.0155613,0.0489,9.92,0.00296219,0.0098394,0.2457,0.018599,2.7,0.2202,0.0390775,0.764818,0.00329023,0.0325,3.53,0.00130453,0.038089,6.65E-14,0.0208,0.0356404,0.035657,0.0243,0.02073,-0.00286237,63,1,0.00200525,4.92E-05,0.5,9.15E-05,0.0001528,7.11E-14,0.3,0.00352429,0.050461,6.2613,0.54682,0.00394721,0.00325,0.189559,0.00619762,0.008454,0.403,0.00514606,0.00519799,0.5,0.45,0.2514,0.0101142,2.73,0.0100544,0.0644026,0.0185929,0.12862,2.59E-05,0.00021856,0.22163,0.00463112,0.086124,0.04889,0.0488684,0.0524681,0.015,-4.53E-06,0.0513,0.00599795,5.3,0.1046,-0.00105932,0.0039,0.474825,0.05557,0.0130238,0.55783,0.00599003,0.5,0.45,0.00599116,0.4287,0.0119697,28.6,0.0119695,0.158436,0,0,0.0390715,0.09314,0.1978,-0.00113142,0.0236071,-3.86E-07
622,0.208295,0.113402,0.0219473,0.00618672,2.14876,0.00130835,2.25941,2.98E-07,0.0416361,2.12636,-4.87E-05,0.567668,5,0.746826,5,-0.18249,-0.100846,0.021875,-1.60E-06,0.113203,5.17E-05,0.108914,1.15E-06,0.012,0.012,0.0120004,0.745664,0.000238978,0.726369,6.91E-06,0.0656083,0.000179252,0.0499212,9.99E-06,4.63948,1.40E-05,0.316259,0.000154981,0.178489,0.000744249,0.244633,0.000127292,-9.32E-15,3,6.73E-14,1.82834,-0.00191304,0.340684,-5.57E-06,0.530145,-5.11E-05,0.697222,-0.000711433,0.507282,6.73E-05,0.164149,0.22,0.0558514,-3.06E-05,0.0370859,4.92E-06,0.22,0.182914,13.6494,-0.00360655,15.5455,-0.00046457,7.41346,5.18E-05,0.157955,6.08E-06,0.0970207,5.85E-06,4.43233,0.00285156,4.25317,4.41E-06,0.0176508,6.03E-05,0.00369068,1.50E-07,0.190201,-9.08E-05,0.0439952,4.77E-06,1.24072,1.04118,1,0,5.32,0.00612541,0.50417,0,0,4.04231,0.700463,-0.120803,4.04306,8.4568,0.0155605,0.0489,9.92,0.00296148,0.0098394,0.2457,0.0185963,2.7,0.2202,0.0390762,0.764818,0.00328961,0.0325,3.53,0.00129866,0.038089,1.12E-13,0.0208,0.0356404,0.035657,0.0243,0.02073,-0.00285156,63,1,0.0020045,4.92E-05,0.5,9.15E-05,0.0001528,1.21E-13,0.3,0.00351589,0.050461,6.2613,0.54682,0.00393115,0.00325,0.189569,0.00619673,0.008454,0.403,0.00513828,0.00518995,0.5,0.45,0.2514,0.0100973,2.73,0.010037,0.064392,0.0185902,0.12862,2.59E-05,0.00021856,0.22163,0.00461673,0.086124,0.04889,0.0488684,0.0524681,0.015,-4.41E-06,0.0513,0.00599812,5.3,0.1046,-0.00105825,0.0039,0.474828,0.05557,0.0130235,0.55783,0.00599006,0.5,0.45,0.00599122,0.4287,0.0119701,28.6,0.01197,0.158431,0,0,0.0390704,0.09314,0.1978,-0.00112553,0.0236068,-3.65E-07
623,0.207227,0.113402,0.0217098,0.00618669,2.15006,0.00130085,2.25941,2.87E-07,0.0416373,2.12631,-4.81E-05,0.564822,5,0.746821,5,-0.181578,-0.100846,0.0218734,-1.56E-06,0.113255,5.14E-05,0.108915,1.17E-06,0.012,0.012,0.0120003,0.745902,0.000237858,0.726376,7.02E-06,0.0657882,0.000180594,0.049931,9.61E-06,4.63949,1.41E-05,0.316415,0.00015688,0.179234,0.000746018,0.244761,0.000129178,-1.27E-14,3,8.62E-14,1.82642,-0.00191228,0.340678,-6.01E-06,0.530092,-5.52E-05,0.696509,-0.000713015,0.507347,6.25E-05,0.164179,0.22,0.0558208,-3.05E-05,0.0370907,4.69E-06,0.22,0.182909,13.6458,-0.0035652,15.5451,-0.0004478,7.41352,5.12E-05,0.157961,6.05E-06,0.0970265,5.72E-06,4.43518,0.00284066,4.25318,4.29E-06,0.0177113,6.07E-05,0.00369083,1.49E-07,0.19011,-9.12E-05,0.0439999,4.54E-06,1.23824,1.04118,1,0,5.32,0.00612747,0.50417,0,0,4.04209,0.700401,-0.120778,4.04284,8.4568,0.0155597,0.0489,9.92,0.00296078,0.0098394,0.2457,0.0185935,2.7,0.2202,0.039075,0.764818,0.00328894,0.0325,3.53,0.00129279,0.038089,1.43E-13,0.0208,0.0356404,0.035657,0.0243,0.02073,-0.00284066,63,1,0.00200376,4.92E-05,0.5,9.15E-05,0.0001528,1.55E-13,0.3,0.00350755,0.050461,6.2613,0.54682,0.00391523,0.00325,0.189579,0.00619583,0.008454,0.403,0.00513055,0.00518198,0.5,0.45,0.2514,0.0100805,2.73,0.0100198,0.0643815,0.0185875,0.12862,2.58E-05,0.00021856,0.22163,0.00460241,0.086124,0.04889,0.0488684,0.0524681,0.015,-4.29E-06,0.0513,0.00599829,5.3,0.1046,-0.0010572,0.0039,0.474831,0.05557,0.0130231,0.55783,0.0059901,0.5,0.45,0.00599127,0.4287,0.0119706,28.6,0.0119704,0.158426,0,0,0.0390693,0.09314,0.1978,-0.00111969,0.0236064,-3.46E-07
624,0.206165,0.113402,0.0214749,0.00618666,2.15136,0.00129335,2.25941,2.74E-07,0.0416385,2.12626,-4.77E-05,0.561987,5,0.746817,5,-0.18067,-0.100845,0.0218719,-1.53E-06,0.113306,5.12E-05,0.108916,1.19E-06,0.012,0.012,0.0120003,0.74614,0.000236731,0.726383,7.13E-06,0.0659695,0.000181934,0.0499404,9.23E-06,4.63951,1.42E-05,0.316573,0.000158773,0.179981,0.000747735,0.244891,0.000131061,-1.40E-14,3,9.23E-14,1.82451,-0.00191153,0.340672,-6.44E-06,0.530035,-5.93E-05,0.695796,-0.000714545,0.507407,5.77E-05,0.16421,0.22,0.0557903,-3.05E-05,0.0370953,4.47E-06,0.22,0.182905,13.6422,-0.0035244,15.5446,-0.000431631,7.41357,5.05E-05,0.157967,6.02E-06,0.0970322,5.60E-06,4.43801,0.00282967,4.25318,4.18E-06,0.0177722,6.11E-05,0.00369097,1.48E-07,0.190018,-9.16E-05,0.0440043,4.32E-06,1.23579,1.04118,1,0,5.32,0.00612953,0.50417,0,0,4.04188,0.70034,-0.120751,4.04262,8.4568,0.0155589,0.0489,9.92,0.00296007,0.0098394,0.2457,0.0185908,2.7,0.2202,0.0390738,0.764818,0.00328822,0.0325,3.53,0.00128693,0.038089,1.52E-13,0.0208,0.0356404,0.035657,0.0243,0.02073,-0.00282967,63,1,0.00200302,4.92E-05,0.5,9.15E-05,0.0001528,1.66E-13,0.3,0.00349926,0.050461,6.2613,0.54682,0.00389943,0.00325,0.189589,0.00619493,0.008454,0.403,0.00512289,0.00517406,0.5,0.45,0.2514,0.0100639,2.73,0.0100027,0.0643712,0.0185848,0.12862,2.58E-05,0.00021856,0.22163,0.00458817,0.086124,0.04889,0.0488684,0.0524681,0.015,-4.18E-06,0.0513,0.00599846,5.3,0.1046,-0.00105617,0.0039,0.474833,0.05557,0.0130227,0.55783,0.00599014,0.5,0.45,0.00599133,0.4287,0.011971,28.6,0.0119709,0.158422,0,0,0.0390682,0.09314,0.1978,-0.00111391,0.0236061,-3.28E-07
625,0.205108,0.113402,0.0212425,0.00618664,2.15265,0.00128583,2.25941,2.57E-07,0.0416397,2.12622,-4.73E-05,0.559163,5,0.746813,5,-0.179766,-0.100845,0.0218703,-1.50E-06,0.113357,5.09E-05,0.108917,1.21E-06,0.012,0.012,0.0120003,0.746376,0.000235597,0.72639,7.25E-06,0.0661521,0.00018327,0.0499495,8.86E-06,4.63952,1.43E-05,0.316733,0.000160659,0.180729,0.000749401,0.245023,0.00013294,-1.26E-14,3,8.06E-14,1.8226,-0.00191077,0.340665,-6.87E-06,0.529974,-6.33E-05,0.69508,-0.000716026,0.507462,5.30E-05,0.16424,0.22,0.0557598,-3.05E-05,0.0370996,4.25E-06,0.22,0.1829,13.6387,-0.00348415,15.5442,-0.000416041,7.41362,5.00E-05,0.157973,6.00E-06,0.0970377,5.49E-06,4.44084,0.00281861,4.25319,4.07E-06,0.0178335,6.15E-05,0.00369112,1.47E-07,0.189926,-9.20E-05,0.0440085,4.10E-06,1.23335,1.04118,1,0,5.32,0.00613158,0.50417,0,0,4.04167,0.700278,-0.120722,4.0424,8.4568,0.015558,0.0489,9.92,0.00295936,0.0098394,0.2457,0.0185881,2.7,0.2202,0.0390727,0.764818,0.00328745,0.0325,3.53,0.00128107,0.038089,1.32E-13,0.0208,0.0356404,0.035657,0.0243,0.02073,-0.00281861,63,1,0.00200228,4.92E-05,0.5,9.15E-05,0.0001528,1.45E-13,0.3,0.00349103,0.050461,6.2613,0.54682,0.00388375,0.00325,0.189599,0.00619402,0.008454,0.403,0.00511529,0.0051662,0.5,0.45,0.2514,0.0100473,2.73,0.00998578,0.064361,0.0185821,0.12862,2.58E-05,0.00021856,0.22163,0.004574,0.086124,0.04889,0.0488684,0.0524681,0.015,-4.07E-06,0.0513,0.00599864,5.3,0.1046,-0.00105515,0.0039,0.474836,0.05557,0.0130224,0.55783,0.00599018,0.5,0.45,0.00599139,0.4287,0.0119715,28.6,0.0119714,0.158417,0,0,0.0390672,0.09314,0.1978,-0.00110817,0.0236057,-3.11E-07
